source,title,content,language,collected_at,clean_content,tokens
VNExpress,Dấu hiệu hô hấp cảnh báo bệnh phổi,"Khó thở ngay cả khi nghỉ ngơi, kèm ho hoặc đau ngực, có thể cho thấy phổi đang bị tổn thương, mắc bệnh lý và không đáp ứng đủ nhu cầu oxy của cơ thể.",vi,2026-01-16 22:11:16.080045,khó thở ngay cả khi nghỉ ngơi kèm ho hoặc đau ngực có thể cho thấy phổi đang bị tổn thương mắc bệnh lý và không đáp ứng đủ nhu cầu oxy của cơ thể,khó thở ngay cả khi nghỉ_ngơi kèm_ho hoặc đau ngực có_thể cho thấy phổi đang bị tổn_thương mắc bệnh_lý và không đáp_ứng đủ nhu_cầu oxy của cơ_thể
VNExpress,Lý do nên ăn măng cụt,"Măng cụt giàu chất xơ, vitamin C và các chất chống oxy hóa hỗ trợ tiêu hóa, tăng cường miễn dịch, góp phần ổn định lượng đường trong máu.",vi,2026-01-16 22:11:16.080070,măng cụt giàu chất xơ vitamin c và các chất chống oxy hóa hỗ trợ tiêu hóa tăng cường miễn dịch góp phần ổn định lượng đường trong máu,măng cụt giàu chất xơ_vitamin c và các chất chống oxy hóa hỗ_trợ tiêu_hóa tăng_cường miễn_dịch góp_phần ổn_định_lượng đường trong máu
VNExpress,Ăn uống thế nào giảm đau nửa đầu,"Chế độ ăn ưu tiên rau lá xanh đậm, gừng và thực phẩm có nguồn gốc thực vật, đồng thời hạn chế rượu cùng cà phê, có thể giảm đau nửa đầu.",vi,2026-01-16 22:11:16.080097,chế độ ăn ưu tiên rau lá xanh đậm gừng và thực phẩm có nguồn gốc thực vật đồng thời hạn chế rượu cùng cà phê có thể giảm đau nửa đầu,chế_độ ăn ưu_tiên rau lá xanh đậm_gừng và thực_phẩm có nguồn_gốc thực_vật đồng_thời hạn_chế rượu cùng cà_phê có_thể giảm đau nửa đầu
VNExpress,Trán vón cục sau 5 năm tiêm filler làm đẹp,"Hà NộiChị Hòa, 26 tuổi, xuất hiện hàng chục cục dưới da ở trán sau 5 năm tiêm chất làm đầy (filler).",vi,2026-01-16 22:11:16.080122,hà nộichị hòa tuổi xuất hiện hàng chục cục dưới da ở trán sau năm tiêm chất làm đầy filler,hà nộichị hòa tuổi xuất_hiện hàng chục cục dưới da ở trán sau năm tiêm_chất làm đầy filler
VNExpress,Dấu hiệu sớm ung thư vú,"Thay đổi da vùng ngực, kích thước hoặc hình dạng, tiết dịch nhũ hoa và xuất hiện khối u thường là dấu hiệu ung thư vú sớm.",vi,2026-01-16 22:11:16.080147,thay đổi da vùng ngực kích thước hoặc hình dạng tiết dịch nhũ hoa và xuất hiện khối u thường là dấu hiệu ung thư vú sớm,thay_đổi da vùng ngực kích_thước hoặc hình_dạng tiết dịch nhũ hoa và xuất_hiện khối_u thường là dấu_hiệu ung_thư vú sớm
VNExpress,Bị viêm da tiết bã nên kiêng ăn gì?,"Tôi bị viêm da tiết bã, thường xuyên bong vảy, đỏ da. Chế độ ăn uống có ảnh hưởng đến bệnh không, nên kiêng hay hạn chế thực phẩm nào? (Thu Hằng, 30 tuổi, Đồng Tháp)",vi,2026-01-16 22:11:16.080173,tôi bị viêm da tiết bã thường xuyên bong vảy đỏ da chế độ ăn uống có ảnh hưởng đến bệnh không nên kiêng hay hạn chế thực phẩm nào thu hằng tuổi đồng tháp,tôi bị viêm da_tiết bã thường_xuyên bong vảy đỏ da chế_độ ăn_uống có ảnh_hưởng đến bệnh không nên kiêng hay hạn_chế thực_phẩm nào thu hằng tuổi đồng_tháp
VNExpress,Vì sao xuất hiện đốm nâu trong mắt?,"Đốm nâu trong mắt là tổn thương sắc tố trên bề mặt nhãn cầu, có thể bẩm sinh hoặc hình thành theo thời gian do tia UV, lão hóa và các yếu tố môi trường.",vi,2026-01-16 22:11:16.080214,đốm nâu trong mắt là tổn thương sắc tố trên bề mặt nhãn cầu có thể bẩm sinh hoặc hình thành theo thời gian do tia uv lão hóa và các yếu tố môi trường,đốm nâu trong mắt là tổn_thương sắc_tố trên bề_mặt nhãn_cầu có_thể bẩm_sinh hoặc hình_thành theo thời_gian do tia uv_lão hóa và các yếu_tố môi_trường
VNExpress,Robot phẫu thuật bóc u trong lồng ngực người bệnh,"TP HCMÔng Nam, 35 tuổi, có khối u trung thất nằm sát thực quản và các mạch máu lớn ở đỉnh phổi, được bác sĩ phẫu thuật bằng robot Da Vinci Xi bóc tách thành công.",vi,2026-01-16 22:11:16.080241,tp hcmông nam tuổi có khối u trung thất nằm sát thực quản và các mạch máu lớn ở đỉnh phổi được bác sĩ phẫu thuật bằng robot da vinci xi bóc tách thành công,tp hcmông nam tuổi có khối_u trung_thất nằm sát thực_quản và các mạch_máu lớn ở đỉnh phổi được bác_sĩ phẫu_thuật bằng robot da vinci xi_bóc tách thành_công
VNExpress,Ai không nên uống trà chanh gừng mật ong?,"Người bệnh tiểu đường, thân nhiệt cao hoặc mắc bệnh lý về máu không nên uống trà chanh gừng mật ong, tránh tác dụng ngược.",vi,2026-01-16 22:11:16.080266,người bệnh tiểu đường thân nhiệt cao hoặc mắc bệnh lý về máu không nên uống trà chanh gừng mật ong tránh tác dụng ngược,người_bệnh tiểu_đường thân_nhiệt cao hoặc mắc bệnh_lý về máu không nên uống trà chanh_gừng mật_ong tránh tác_dụng ngược
VNExpress,Thiếu niên 14 tuổi ngưng thở khi ngủ do béo phì,"TP HCMHưng, 14 tuổi, nặng 125 kg, thường thở dốc và giật mình khi ngủ, bác sĩ chẩn đoán bị ngưng thở khi ngủ do biến chứng béo phì.",vi,2026-01-16 22:11:16.080291,tp hcmhưng tuổi nặng kg thường thở dốc và giật mình khi ngủ bác sĩ chẩn đoán bị ngưng thở khi ngủ do biến chứng béo phì,tp hcmhưng tuổi nặng kg thường thở_dốc và giật_mình khi ngủ bác_sĩ chẩn_đoán bị ngưng thở khi ngủ do biến_chứng béo phì
VNExpress,U xơ tử cung to như thai gần 7 tháng,"TP HCMChị Ngân, 45 tuổi, u xơ tử cung 5 năm không điều trị, nay u to như thai 26 tuần gây biến chứng xuất huyết.",vi,2026-01-16 22:11:16.080317,tp hcmchị ngân tuổi u xơ tử cung năm không điều trị nay u to như thai tuần gây biến chứng xuất huyết,tp hcmchị ngân_tuổi u xơ_tử_cung năm không điều_trị nay u to như thai tuần gây biến_chứng xuất_huyết
VNExpress,Người bệnh khớp nên ăn thịt đỏ thế nào?,"Người mắc bệnh xương khớp có nên ăn thịt đỏ không, cần lưu ý gì? (Khánh Đoàn, TP HCM)",vi,2026-01-16 22:11:16.080343,người mắc bệnh xương khớp có nên ăn thịt đỏ không cần lưu ý gì khánh đoàn tp hcm,người mắc bệnh xương_khớp có nên ăn thịt đỏ không cần lưu_ý gì khánh_đoàn tp hcm
